id,base data,day of week,base hour,lane count,road rating ,road name,multi linked,connect code,maximum speed limit,vehicle restricted,weight restricted,height  restricted,road type,start node name,start latitude,start longitude,start turn restricted,end node name,end latitude,end longitude,end turn restricted,target
TRAIN_0000013,20220311,금,13,2,107,태평로,0,0,50,0,0,0,0,남양리조트,33.24608087,126.5672043,없음,서현주택,33.2455654,126.5662282,없음,20
TRAIN_0000014,20211005,화,8,2,103,일반국도12호선,0,0,80,0,0,0,0,애월샷시,33.46221435,126.3265511,없음,애월입구,33.46267677,126.3301518,없음,38
TRAIN_0000015,20210913,월,7,2,107,경찰로,0,0,60,0,0,0,0,시청입구2,33.2499487,126.5056637,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,28
TRAIN_0000016,20220106,목,0,2,107,-,0,0,60,0,0,0,0,가동,33.41841197,126.268029,없음,나동,33.41417501,126.2693776,없음,39
TRAIN_0000017,20211213,월,16,2,107,외도천교,0,0,60,0,0,0,3,외도천교,33.48239171,126.4416217,없음,외도천교,33.48233227,126.4422658,없음,28
TRAIN_0000018,20211004,월,15,2,107,경찰로,0,0,60,0,0,0,0,신성교회,33.25307382,126.5063927,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,14
TRAIN_0000019,20211208,수,2,1,103,일반국도16호선,0,0,50,0,0,0,0,양수장,33.36171667,126.7669579,없음,제2가시교,33.36433621,126.7694089,없음,52
TRAIN_0000020,20220623,목,17,1,106,지방도1112호선,0,0,60,0,32400,0,3,제3교래교,33.42774727,126.662612,없음,제3교래교,33.42774877,126.662335,없음,52
TRAIN_0000021,20220728,목,21,2,103,일반국도11호선,0,0,60,0,0,0,0,광양사거리,33.50073043,126.5291068,있음,KAL사거리,33.5048113,126.5262401,없음,30
TRAIN_0000022,20211010,일,7,2,103,일반국도16호선,0,0,80,0,0,0,0,창고천교,33.2791451,126.3685977,없음,상창육교,33.2800721,126.3621475,없음,61
TRAIN_0000023,20220311,금,13,2,107,태평로,0,0,50,0,0,0,0,남양리조트,33.24608087,126.5672043,없음,서현주택,33.2455654,126.5662282,없음,20
TRAIN_0000024,20211005,화,8,2,103,일반국도12호선,0,0,80,0,0,0,0,애월샷시,33.46221435,126.3265511,없음,애월입구,33.46267677,126.3301518,없음,38
TRAIN_0000025,20210913,월,7,2,107,경찰로,0,0,60,0,0,0,0,시청입구2,33.2499487,126.5056637,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,28
TRAIN_0000026,20220106,목,0,2,107,-,0,0,60,0,0,0,0,가동,33.41841197,126.268029,없음,나동,33.41417501,126.2693776,없음,39
TRAIN_0000027,20211213,월,16,2,107,외도천교,0,0,60,0,0,0,3,외도천교,33.48239171,126.4416217,없음,외도천교,33.48233227,126.4422658,없음,28
TRAIN_0000028,20211004,월,15,2,107,경찰로,0,0,60,0,0,0,0,신성교회,33.25307382,126.5063927,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,14
TRAIN_0000029,20211208,수,2,1,103,일반국도16호선,0,0,50,0,0,0,0,양수장,33.36171667,126.7669579,없음,제2가시교,33.36433621,126.7694089,없음,52
TRAIN_0000030,20220623,목,17,1,106,지방도1112호선,0,0,60,0,32400,0,3,제3교래교,33.42774727,126.662612,없음,제3교래교,33.42774877,126.662335,없음,52
TRAIN_0000031,20220728,목,21,2,103,일반국도11호선,0,0,60,0,0,0,0,광양사거리,33.50073043,126.5291068,있음,KAL사거리,33.5048113,126.5262401,없음,30
TRAIN_0000032,20211010,일,7,2,103,일반국도16호선,0,0,80,0,0,0,0,창고천교,33.2791451,126.3685977,없음,상창육교,33.2800721,126.3621475,없음,61
TRAIN_0000033,20220311,금,13,2,107,태평로,0,0,50,0,0,0,0,남양리조트,33.24608087,126.5672043,없음,서현주택,33.2455654,126.5662282,없음,20
TRAIN_0000034,20211005,화,8,2,103,일반국도12호선,0,0,80,0,0,0,0,애월샷시,33.46221435,126.3265511,없음,애월입구,33.46267677,126.3301518,없음,38
TRAIN_0000035,20210913,월,7,2,107,경찰로,0,0,60,0,0,0,0,시청입구2,33.2499487,126.5056637,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,28
TRAIN_0000036,20220106,목,0,2,107,-,0,0,60,0,0,0,0,가동,33.41841197,126.268029,없음,나동,33.41417501,126.2693776,없음,39
TRAIN_0000037,20211213,월,16,2,107,외도천교,0,0,60,0,0,0,3,외도천교,33.48239171,126.4416217,없음,외도천교,33.48233227,126.4422658,없음,28
TRAIN_0000038,20211004,월,15,2,107,경찰로,0,0,60,0,0,0,0,신성교회,33.25307382,126.5063927,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,14
TRAIN_0000039,20211208,수,2,1,103,일반국도16호선,0,0,50,0,0,0,0,양수장,33.36171667,126.7669579,없음,제2가시교,33.36433621,126.7694089,없음,52
TRAIN_0000040,20220623,목,17,1,106,지방도1112호선,0,0,60,0,32400,0,3,제3교래교,33.42774727,126.662612,없음,제3교래교,33.42774877,126.662335,없음,52
TRAIN_0000041,20220728,목,21,2,103,일반국도11호선,0,0,60,0,0,0,0,광양사거리,33.50073043,126.5291068,있음,KAL사거리,33.5048113,126.5262401,없음,30
TRAIN_0000042,20211010,일,7,2,103,일반국도16호선,0,0,80,0,0,0,0,창고천교,33.2791451,126.3685977,없음,상창육교,33.2800721,126.3621475,없음,61
TRAIN_0000043,20220311,금,13,2,107,태평로,0,0,50,0,0,0,0,남양리조트,33.24608087,126.5672043,없음,서현주택,33.2455654,126.5662282,없음,20
TRAIN_0000044,20211005,화,8,2,103,일반국도12호선,0,0,80,0,0,0,0,애월샷시,33.46221435,126.3265511,없음,애월입구,33.46267677,126.3301518,없음,38
TRAIN_0000045,20210913,월,7,2,107,경찰로,0,0,60,0,0,0,0,시청입구2,33.2499487,126.5056637,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,28
TRAIN_0000046,20220106,목,0,2,107,-,0,0,60,0,0,0,0,가동,33.41841197,126.268029,없음,나동,33.41417501,126.2693776,없음,39
TRAIN_0000047,20211213,월,16,2,107,외도천교,0,0,60,0,0,0,3,외도천교,33.48239171,126.4416217,없음,외도천교,33.48233227,126.4422658,없음,28
TRAIN_0000048,20211004,월,15,2,107,경찰로,0,0,60,0,0,0,0,신성교회,33.25307382,126.5063927,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,14
TRAIN_0000049,20211208,수,2,1,103,일반국도16호선,0,0,50,0,0,0,0,양수장,33.36171667,126.7669579,없음,제2가시교,33.36433621,126.7694089,없음,52
TRAIN_0000050,20220623,목,17,1,106,지방도1112호선,0,0,60,0,32400,0,3,제3교래교,33.42774727,126.662612,없음,제3교래교,33.42774877,126.662335,없음,52
TRAIN_0000051,20220728,목,21,2,103,일반국도11호선,0,0,60,0,0,0,0,광양사거리,33.50073043,126.5291068,있음,KAL사거리,33.5048113,126.5262401,없음,30
TRAIN_0000052,20211010,일,7,2,103,일반국도16호선,0,0,80,0,0,0,0,창고천교,33.2791451,126.3685977,없음,상창육교,33.2800721,126.3621475,없음,61
TRAIN_0000053,20220311,금,13,2,107,태평로,0,0,50,0,0,0,0,남양리조트,33.24608087,126.5672043,없음,서현주택,33.2455654,126.5662282,없음,20
TRAIN_0000054,20211005,화,8,2,103,일반국도12호선,0,0,80,0,0,0,0,애월샷시,33.46221435,126.3265511,없음,애월입구,33.46267677,126.3301518,없음,38
TRAIN_0000055,20210913,월,7,2,107,경찰로,0,0,60,0,0,0,0,시청입구2,33.2499487,126.5056637,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,28
TRAIN_0000056,20220106,목,0,2,107,-,0,0,60,0,0,0,0,가동,33.41841197,126.268029,없음,나동,33.41417501,126.2693776,없음,39
TRAIN_0000057,20211213,월,16,2,107,외도천교,0,0,60,0,0,0,3,외도천교,33.48239171,126.4416217,없음,외도천교,33.48233227,126.4422658,없음,28
TRAIN_0000058,20211004,월,15,2,107,경찰로,0,0,60,0,0,0,0,신성교회,33.25307382,126.5063927,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,14
TRAIN_0000059,20211208,수,2,1,103,일반국도16호선,0,0,50,0,0,0,0,양수장,33.36171667,126.7669579,없음,제2가시교,33.36433621,126.7694089,없음,52
TRAIN_0000060,20220623,목,17,1,106,지방도1112호선,0,0,60,0,32400,0,3,제3교래교,33.42774727,126.662612,없음,제3교래교,33.42774877,126.662335,없음,52
TRAIN_0000061,20220728,목,21,2,103,일반국도11호선,0,0,60,0,0,0,0,광양사거리,33.50073043,126.5291068,있음,KAL사거리,33.5048113,126.5262401,없음,30
TRAIN_0000062,20211010,일,7,2,103,일반국도16호선,0,0,80,0,0,0,0,창고천교,33.2791451,126.3685977,없음,상창육교,33.2800721,126.3621475,없음,61
TRAIN_0000063,20220311,금,13,2,107,태평로,0,0,50,0,0,0,0,남양리조트,33.24608087,126.5672043,없음,서현주택,33.2455654,126.5662282,없음,20
TRAIN_0000064,20211005,화,8,2,103,일반국도12호선,0,0,80,0,0,0,0,애월샷시,33.46221435,126.3265511,없음,애월입구,33.46267677,126.3301518,없음,38
TRAIN_0000065,20210913,월,7,2,107,경찰로,0,0,60,0,0,0,0,시청입구2,33.2499487,126.5056637,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,28
TRAIN_0000066,20220106,목,0,2,107,-,0,0,60,0,0,0,0,가동,33.41841197,126.268029,없음,나동,33.41417501,126.2693776,없음,39
TRAIN_0000067,20211213,월,16,2,107,외도천교,0,0,60,0,0,0,3,외도천교,33.48239171,126.4416217,없음,외도천교,33.48233227,126.4422658,없음,28
TRAIN_0000068,20211004,월,15,2,107,경찰로,0,0,60,0,0,0,0,신성교회,33.25307382,126.5063927,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,14
TRAIN_0000069,20211208,수,2,1,103,일반국도16호선,0,0,50,0,0,0,0,양수장,33.36171667,126.7669579,없음,제2가시교,33.36433621,126.7694089,없음,52
TRAIN_0000070,20220623,목,17,1,106,지방도1112호선,0,0,60,0,32400,0,3,제3교래교,33.42774727,126.662612,없음,제3교래교,33.42774877,126.662335,없음,52
TRAIN_0000071,20220728,목,21,2,103,일반국도11호선,0,0,60,0,0,0,0,광양사거리,33.50073043,126.5291068,있음,KAL사거리,33.5048113,126.5262401,없음,30
TRAIN_0000072,20211010,일,7,2,103,일반국도16호선,0,0,80,0,0,0,0,창고천교,33.2791451,126.3685977,없음,상창육교,33.2800721,126.3621475,없음,61
TRAIN_0000073,20220311,금,13,2,107,태평로,0,0,50,0,0,0,0,남양리조트,33.24608087,126.5672043,없음,서현주택,33.2455654,126.5662282,없음,20
TRAIN_0000074,20211005,화,8,2,103,일반국도12호선,0,0,80,0,0,0,0,애월샷시,33.46221435,126.3265511,없음,애월입구,33.46267677,126.3301518,없음,38
TRAIN_0000075,20210913,월,7,2,107,경찰로,0,0,60,0,0,0,0,시청입구2,33.2499487,126.5056637,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,28
TRAIN_0000076,20220106,목,0,2,107,-,0,0,60,0,0,0,0,가동,33.41841197,126.268029,없음,나동,33.41417501,126.2693776,없음,39
TRAIN_0000077,20211213,월,16,2,107,외도천교,0,0,60,0,0,0,3,외도천교,33.48239171,126.4416217,없음,외도천교,33.48233227,126.4422658,없음,28
TRAIN_0000078,20211004,월,15,2,107,경찰로,0,0,60,0,0,0,0,신성교회,33.25307382,126.5063927,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,14
TRAIN_0000079,20211208,수,2,1,103,일반국도16호선,0,0,50,0,0,0,0,양수장,33.36171667,126.7669579,없음,제2가시교,33.36433621,126.7694089,없음,52
TRAIN_0000080,20220623,목,17,1,106,지방도1112호선,0,0,60,0,32400,0,3,제3교래교,33.42774727,126.662612,없음,제3교래교,33.42774877,126.662335,없음,52
TRAIN_0000081,20220728,목,21,2,103,일반국도11호선,0,0,60,0,0,0,0,광양사거리,33.50073043,126.5291068,있음,KAL사거리,33.5048113,126.5262401,없음,30
TRAIN_0000082,20211010,일,7,2,103,일반국도16호선,0,0,80,0,0,0,0,창고천교,33.2791451,126.3685977,없음,상창육교,33.2800721,126.3621475,없음,61
TRAIN_0000083,20220311,금,13,2,107,태평로,0,0,50,0,0,0,0,남양리조트,33.24608087,126.5672043,없음,서현주택,33.2455654,126.5662282,없음,20
TRAIN_0000084,20211005,화,8,2,103,일반국도12호선,0,0,80,0,0,0,0,애월샷시,33.46221435,126.3265511,없음,애월입구,33.46267677,126.3301518,없음,38
TRAIN_0000085,20210913,월,7,2,107,경찰로,0,0,60,0,0,0,0,시청입구2,33.2499487,126.5056637,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,28
TRAIN_0000086,20220106,목,0,2,107,-,0,0,60,0,0,0,0,가동,33.41841197,126.268029,없음,나동,33.41417501,126.2693776,없음,39
TRAIN_0000087,20211213,월,16,2,107,외도천교,0,0,60,0,0,0,3,외도천교,33.48239171,126.4416217,없음,외도천교,33.48233227,126.4422658,없음,28
TRAIN_0000088,20211004,월,15,2,107,경찰로,0,0,60,0,0,0,0,신성교회,33.25307382,126.5063927,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,14
TRAIN_0000089,20211208,수,2,1,103,일반국도16호선,0,0,50,0,0,0,0,양수장,33.36171667,126.7669579,없음,제2가시교,33.36433621,126.7694089,없음,52
TRAIN_0000090,20220623,목,17,1,106,지방도1112호선,0,0,60,0,32400,0,3,제3교래교,33.42774727,126.662612,없음,제3교래교,33.42774877,126.662335,없음,52
TRAIN_0000091,20220728,목,21,2,103,일반국도11호선,0,0,60,0,0,0,0,광양사거리,33.50073043,126.5291068,있음,KAL사거리,33.5048113,126.5262401,없음,30
TRAIN_0000092,20211010,일,7,2,103,일반국도16호선,0,0,80,0,0,0,0,창고천교,33.2791451,126.3685977,없음,상창육교,33.2800721,126.3621475,없음,61
TRAIN_0000093,20220311,금,13,2,107,태평로,0,0,50,0,0,0,0,남양리조트,33.24608087,126.5672043,없음,서현주택,33.2455654,126.5662282,없음,20
TRAIN_0000094,20211005,화,8,2,103,일반국도12호선,0,0,80,0,0,0,0,애월샷시,33.46221435,126.3265511,없음,애월입구,33.46267677,126.3301518,없음,38
TRAIN_0000095,20210913,월,7,2,107,경찰로,0,0,60,0,0,0,0,시청입구2,33.2499487,126.5056637,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,28
TRAIN_0000096,20220106,목,0,2,107,-,0,0,60,0,0,0,0,가동,33.41841197,126.268029,없음,나동,33.41417501,126.2693776,없음,39
TRAIN_0000097,20211213,월,16,2,107,외도천교,0,0,60,0,0,0,3,외도천교,33.48239171,126.4416217,없음,외도천교,33.48233227,126.4422658,없음,28
TRAIN_0000098,20211004,월,15,2,107,경찰로,0,0,60,0,0,0,0,신성교회,33.25307382,126.5063927,없음,서호2차현대맨션203동,33.25218326,126.5060688,없음,14
TRAIN_0000099,20211208,수,2,1,103,일반국도16호선,0,0,50,0,0,0,0,양수장,33.36171667,126.7669579,없음,제2가시교,33.36433621,126.7694089,없음,52
